Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
CC-VEx;The CALIPSO-CloudSat Validation Experiment;;During the period of July 26 to August 14, 2006, the CC-VEx mission provided coincident observations of cloud and aerosol (small particles) layers needed to support calibration and validation studies for the CALIPSO and CloudSat missions.;Atmospheric Composition;;Coordinated with the A-train satellite path. (Florida coast, atlantic ocean, Gulf of Mexico, central Alabama, Midwest, SE Texas/Gulf);;;7/24/2006;8/14/2006;1;;Radiation Sciences;;Hal Maring;Matthew J. McGill, Charles Trepte;N/A;Aircraft;B-200, ER-2, LearJet;ER-2 - CPL, the Cloud Radar System (CRS), MODIS Airborne Simulator (MAS), and a visible camera. Learjet - cloud probes. King Air - high-spectral-resolution lidar;;;;Cloud Properties, Aerosols, Meteorology;;;;;;;;;;Unpublished;MAS Data: https://mas.arc.nasa.gov/data/deploy_html/ccvex_home.html, https://ladsweb.modaps.eosdis.nasa.gov/missions-and-measurements/mas/;;"https://airbornescience.nasa.gov/category/Mission/CC-VEx
https://asapdata.arc.nasa.gov/sensors/fsrs/CCVEXTitlefsr.pdf
https://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/20070023324.pdf
https://books.google.com/books?id=IzLXAc-gZHYC&pg=PA469&lpg=PA469&dq=NASA+CC-Vex+validation+airborne&source=bl&ots=fd9N86oVw_&sig=Yy3FDW5wQYUabSzUT7uTuIBPxQI&hl=en&sa=X&ved=0ahUKEwiNtM7_-NPbAhVFp1kKHSLtDAwQ6AEIaDAN#v=onepage&q=NASA%20CC-Vex%20validation%20airborne&f=false
http://cloudsat.atmos.colostate.edu/news/2006
summary: https://airbornescience.nasa.gov/sites/default/files/documents/SSP06Rpt_final.pdf";;;https://drive.google.com/file/d/1uCt0bL47FDVscjX9KgdVeV1kW9Qg0sqd/view;;;;;;;
CLPX II;Cold Land Processes Field Experiment-II;;The primary goal of the mission was to develop Ku radar based retrieval algorithms of Snow Water equivalent (SWE). The primary objective of CLPX-2 was to acquire snow volume backscatter measurements from NASA’s POLSCAT (POLarimetric SCATterometer) airborne Ku-band radar system and the necessary ground truth measurements (Yueh et al., 2009) for validation of the proposed NASA Snow and Cold Land Processes (SCLP) and ESA Cold Regions Hydrology High Resolution Observatory (CoreH2O) satellite missions (Rottet al., 2010).;Water & Energy Cycle;;Colorado and Alaska;;;2007;2008;2;;;;Jared Entin;Don Kline, Kelly Elders, Simon Yueh, and Steve Dinardo;;Aircraft, In-situ Ground-based Platforms, Model, Satellites;Twin Otter;PolScat;;;;;;;;;;https://www.researchgate.net/publication/252397402_High_resolution_ground-based_snow_measurements_during_the_NASA_CLPX-II_campaign_North_Slope_Alaska;;;;Unpublished;;;N/A;;;N/A;;;;;;;
CLPX III;Cold Land Processes Field Experiment-III;;The primary goal of the mission was to develop Ku radar based retrieval algorithms of Snow Water equivalent (SWE). The primary objective of CLPX-III was to;Water & Energy Cycle;;Colorado;;;2007;2008;2;;;;Jared Entin;Don Kline, Kelly Elders, Simon Yueh, and Steve Dinardo;;Aircraft, In-situ Ground-based Platforms, Model, Satellites;Twin Otter;PolScat;;;;;;;;;;https://www.researchgate.net/publication/252397402_High_resolution_ground-based_snow_measurements_during_the_NASA_CLPX-II_campaign_North_Slope_Alaska;;;;Unpublished;;;N/A;;;N/A;;;;;;;
COAST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMEX;CO2 and Methane Experiment;;The COMEX campaign investigated greenhouse gases and greenhouse gas source emissions by using Short Wave InfraRed absorption features for trace gas retrievals. COMEX combined airborne, surface, thermal (TIR) and short wave infrared (SWIR) imaging spectroscopy and high spectral resolution spectroscopy for greenhouse gas source derivation within several Southern California sites, providing valuable data to help validate planned measurement techniques for future missions such as CarbonSat and HyspIRI. COMEX has collected data for key methane sources in the San Joaquin Valley and the Greater LA Area, including oil production and refining, animal husbandry, natural geology, and landfills with supporting in situ airborne (i.e., flights within the actual plumes of gas) and surface data for validation of higher-altitude airborne information.;Atmospheric Composition;;Southern California;;;5/30/2014;11/10/2014;2;;The COMEX campaign is funded bilaterally by NASA (Grant Number NNX13AM07G) and ESA. NASA funded the US part of the project via a contract with Ira Leifer, BRI, the contribution of MAMAP to the COMEX campaign is funded by ESA within the COMEX-E project and NASA w.r.t. a 50% contribution to the flight related costs of flying MAMAP on an US aircraft;;Barry Lefer;Ira Leifer;N/A;Aircraft, In-situ Ground-based Platforms;DHC-6 - CIRPAS, ER-2 - AFRC, Twin Otter - INT, Alpha Jet;MAMAP, Picarro G2301-f, LGR UNKWN, , C-MIGITIS-III, NovAtel, Trimble TANS VECTOR, OAT Rosemount Probe, ECM, SETRA 270, 5H Radome, HKT-19.85, TSI 2010, TSI 2025, TSI 3550, CAS, PSAP, PCASP-100, FSSP-100, CDP, HVPM-100, AVIRIS-C, AVIRIS-NG, GHG;AMOG Surveyor, MACLab;Los Gatos ICOS, MAKO TIR;;Trace Gases, Radiation Budget, Aerosols, Cloud Properties, Meteorology;;;;;;;;;;Unpublished;AVIRIS Data: https://aviris.jpl.nasa.gov/alt_locator/AVIRIS-NG Data: https://avirisng.jpl.nasa.gov/alt_locator/;;"https://espo.nasa.gov/sites/default/files/documents/COMEX_FR_v2.0_final_.pdf
https://www.nasa.gov/ames/nasa-esa-and-navy-scientists-fly-over-california-measure-greenhouse-gases/index.html#.VBchllaFzYs
https://airbornescience.nasa.gov/sites/default/files/documents/ASP_Fall2014_nsltr_v3.pdf";;ESA, University of Bremen, BRI;https://drive.google.com/file/d/1B871fuWZWVi7R9nQMuS_vOTgAc-FnxdW/view;;;;;;;
DEVOTE;Development and Evaluation of satellite ValidatiOn Tools by Experimenters;;Aimed at improving the next generation of aerosol satellites by studying aerosol and cloud optical and microphysical parameters. Coincident measurements taken over AERONET ground sites and along atmospheric satellite ground tracks to demonstrate the ability to utilize these platforms for future scientific measurement campaigns.;Airborne Science;;COVE-SEAPRISM, LaRC, Wallps, Tuscaloosa, Alabama, Brookhaven, Martha's Wineyar, Thompson Farm, Harvard Forest, NY;;;;;1;;NASA Office of Chief Engineer and NASA HQ Science Mission Directorate;;N/A;John Hair;Gao Chen;Aircraft, In-situ Ground-based Platforms, Satellites;B-200 UC-12B - LARC, B-200 - LARC;HSRL, RSP, LARGE, DLH, PI-Neph;AERONET, CALIPSO, ACE;;;Aerosols, Meteorology, Cloud Properties;;;;;;;;;;Unpublished;https://www-air.larc.nasa.gov/cgi-bin/ArcView/devote;;"https://airbornescience.nasa.gov/sites/default/files/documents/ASPnsltr_Apr_09.pdf https://airbornescience.nasa.gov/sites/default/files/documents/ASPnsltr_Jan2012.pdf         
https://science.larc.nasa.gov/devote/";;;https://drive.google.com/file/d/1BbgrKcabM9K4Sc8J3NzcN5WAnTAgDOqi/view;;;;;;;
EXPORTS;EXport Processes in the Ocean from RemoTe Sensing;;The goal of the EXPORTS field campaign is to develop a predictive understanding of the export and fate of global ocean primary production and its implications for the Earth’s carbon cycle in present and future climates.;Carbon Cycle & Ecosystems;;;;;;;5;;Ocean Biology and Biogeochemistry- (ROSES NNX13AC35G);;Paula Bontempi, Loren Lorenzoni;David Siegel, Ken Buesseler;Chris Proctor;Remote sensing, In situ;"A ""Spatial"" Ship (Survey Ship), A ""Langrangian"" Ship (Process Ship), Robotic Field Sampling, Gliders, Satellites";CTD/Rosette, Water Sampling, Underway Ship Sampling, Sediment Trap Sampling, Multiple Opening Closing Net and Environmental Sensing System (MOCNESS), Vertical Net Tows, In-situ Large Volume Filtration, Drifting Experiment Array, Towed Profiling Survey Vehicle, Remote Sensing Reflectance Spectra Casts, Bioacoustics, Autonomous Platform Array, BioArgo Float, Flux Float, Lagrangian Float, Long-endurance Glider, PSD Float;;;;Ocean;;;;;;;;;;Unpublished;N/A- The EXPORTS web site will provide updated links to all the data repositories where data have been submitted (SeaBASS, BCO-DMO, PANGAEA, etc.);;"https://www.us-ocb.org/wp-content/uploads/sites/43/2017/01/BioPump-Final.pdf
http://oceanexports.org/documents/Platform_Requirements.pdf
http://oceanexports.org/documents/Complete_Measurement_Table.xlsx
http://oceanexports.org/documents/Complete_Measurement_Table_Footnotes.pdf
http://oceanexports.org/documents/EXPORTS_Long_Sept_2015.pptx
http://www.oceanexports.org/documents/EXPORTS_Imp_Plan_Oct17_2016_FINAL.pdf
https://www.frontiersin.org/articles/10.3389/fmars.2016.00022/full
http://oceanexports.org/index.html
http://oceanexports.org/projects.html
https://cce.nasa.gov/cce/pdfs/EXPORTS_SciPlan_final_sm.pdf";;Oregon State University,;https://drive.google.com/file/d/12fdquGSQgDIPK_1hYU7e4B_RTWpA4gSh/view;;;;;;;
FIREChem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
High Winds;High Winds;;The High Winds campaign investigated techniques for measuring ocean near surface salinity correcting for wind speed. The campaign was designed to validate the measurement techniques of the QuickSCAT satellite using a Ku-band radiometer on the Wallops Flight Facility P-3B aircraft. The primary objectives of High Winds were to acquire coincident L-band radiometer and radar data over a wide range of ocean surface wind speeds and to acquire passive and active microwave data to enable the development of algorithms during high wind conditions. Flights were made during periods of predicted ocean surface winds in excess of 50 knots. Results demonstrated the feasibility of using radar backscatter to estimate the excess brightness temperature due to wind forcing.;Water & Energy Cycle;;North-Atlantic Ocean and Labrador Sea, Canada.;;;;;1;;NASA Energy and Water Cycle Study, Terrestrial Hydrology;;Jared Entin;Steven Dinardo;N/A;In-situ, Remote Sensing;NASA P-3 B;PALS, PolSCAT, GISMOS, GPSRS, AXCTD;;;;Ocean, Land Surface, Meteorology;;;;;;;QuikScat;;;Unpublished;;;https://airbornescience.nasa.gov/sites/default/files/documents/ASP09rpt.pdf https://airbornescience.nasa.gov/sites/default/files/documents/ASPnsltr_Apr_09.pdf;;CFB and the Canadian weather services;https://drive.google.com/file/d/11IY7kv1acwjtXuGGx2TTpWiEoScJRv4S/view;;;;;;;
HOPE EPOCH;Hands-On Project Experience (HOPE) Eastern Pacific Origins and Characteristics of Hurricanes (EPOCH);;The HOPE EPOCH mission was a joint mission between NASA and the National Oceanic and Atmospheric Administration (NOAA). This mission sought to provide a better understanding of tropical cyclogenesis, where tropical storms originated, and how they developed into hurricanes. The EPOCH project studied severe storm processes and intensification using the NASA Global Hawk unmanned aircraft, flying at altitudes of 60,000 ft. To investigate how storms develop into hurricanes and intensify, the science payload consists of a variety of NASA and NOAA instruments that measured different aspects of storm systems, including wind velocity, pressure, temperature, humidity, cloud moisture content and the overall structure of the storm system. Data collected will improve models that predict storm impact to coastal regions, property damage, and human life. The data from Dropsonde were incorporated into the NOAA national weather service operation model to improve storm tracking and forecast the intensity of storms.;Weather;;Pacific Ocean, Gulf of Mexico;;;;;1;;Sponsored by the Academy of Program/Project & Engineering Leadership (APPEL) program and NASA's Science Mission Directorate;;Ken Jucks;Amber Emory;N/A;Remote Sensing, In situ;Global Hawk;ER-2 X-band radar (EXRAD), High Altitude Monolithic Radiometer (HAMSR), Advanced Vertical Atmospheric Profiling System;;;;Meteorology;;;;;;;;;;Unpublished;;;"https://www.jpl.nasa.gov/news/news.php?feature=6924
https://airbornescience.nasa.gov/sites/default/files/documents/ASP_Spring2017_nsltr_v7.pdf
https://uas.noaa.gov/News/ArtMID/6699/ArticleID/401/NOAA-UAS-Program-Participates-in-NASAs-East-Pacific-Origins-and-Characteristics-of-Hurricanes-EPOCH-Project
https://www.ofcm.gov/meetings/TCORF/ihc17/Session_10/10-4-
https://www.esrl.noaa.gov/csd/projects/epoch/ER-2 X-band radar";;;https://drive.google.com/file/d/1Ai91dzOGKsObwh-JStomdMnPVKBlWUTm/view;;;;;;;
HyspIRI;Hyperspectral Infrared Imager Precursor Mission/Preparatory Airborne Mission;;The HyspIRI preparatory airborne mission is a series of research flights flown in preparation for a future HyspIRI satellite mission, recommended by the 2007 National Research Council Decadal Survey to address the need for a global study of the Earth's ecosystems and provide critical information on natural disasters such as volcanoes, wildfires and drought. The goal of the HyspIRI campaign is to determine the spectral and thermal characteristics of the world's ecosystems. These ecosystems are sensitive to the presence and changes in the health of vegetation, as well as detecting and understanding sources of methane emissions, and surface phenomena, such as volcanoes, including assessing the likelihood of future eruptions, wildfire, and drought.;Carbon Cycle & Ecosystems;;California, California, California, Hawaiian Islands, Hawaiian Islands;;;;;14;;ROSES 2009, 2010, 2011, 2014;;Woody Turner;"Robert Green (AVIRIS); Simon Hook (MASTER); 2007 HyspIRI VSWIR Science Study Group Leads: Robert Green (JPL), Steve Ungar (GSFC), Robert Knox (GSFC); 2007 HyspIRI TIR Science Study Group Lead: Simon Hook (JPLP); 2008 HyspIRI Science Study Group Leads: Robert Green, Simon Hook; also see 36 PIs associated with ROSES funded project (overview above)";N/A;Aircraft;ER-2;AVIRIS, MASTER;;;;Land Surface, Atmosphere;;;;;;;;;;Unpublished;"https://hyspiri.jpl.nasa.gov/airborne 
Nav Data: https://asp-archive.arc.nasa.gov/HISPIRI/ 

AVIRIS:
https://aviris.jpl.nasa.gov/alt_locator/

MASTER: https://masterprojects.jpl.nasa.gov";;"https://airbornescience.nasa.gov/content/Hyperspectral_Infrared_Imager_HyspIRI_Airborne_Campaign
https://hyspiri.jpl.nasa.gov/
https://phys.org/news/2017-03-nasa-capability-hawaii-coral-reefs.html
https://www.nasa.gov/feature/jpl/nasa-led-campaign-studies-hawaii-s-iconic-volcanoes
https://airbornescience.nasa.gov/sites/default/files/documents/ASP_Spring2017_nsltr.pdf
https://www.nasa.gov/topics/earth/features/hyspiri.html
https://hyspiri.jpl.nasa.gov/downloads/reports_whitepapers/HASG_White_Paper_Report_20150226_v3.pdf  http://www.ige.unicamp.br/beto/Mariana/An%20Introduction%20to%20the%20NASA%20Hyperspectral%20infrared%20Imager%20mision%20and%20preparatory%20activities.pdf";;;https://drive.google.com/file/d/15gtidPbRa5758r2LwnS-0BKo1aTFFeFM/view;;;;data products come up in earthdata but LP DAAC doesn't list this campaign;;;
JAIVEx;Joint Airborne IASI Validation Experiment;;US-European collaboration focusing on validation of radiance and geophysical products from MetOp-A Infrared Atmospheric Sounding Interferometer (IASI) and Aqua (AIRS/AMSU) Atmospheric Infrared Sounder (AIRS). One important goal of JAIVEx was to inter-compare MetOp-A operational measurement capability with that provided by the A-train of advanced NASA research satellites.;Weather;;DOE ARM CART site and Gulf of Mexico region;;;;;1;;NASA Langley Research Center;;Jack Kaye, Tsengdar Lee;"William L. Smith Sr.; Jonathan Taylor";N/A;Aircraft, ground-based platforms;NASA WB-57, UK FAAM BAe146-301;"Scanning High-Resolution Interferometer,NPOESS Airborne Sounder Testbed- Interferometer (NAST-I),
NPOESS Airborne Sounder Testbed- Microwave (NAST-M), ARIES, Microwave Airborne Radiometer Scanning System";ground sites;;;Meteorology, Land surface, Radiation Budget;;;;;;;;;;Unpublished;http://artefacts.ceda.ac.uk/badc_datadocs/jaivex/jaivex.html;;"https://airbornescience.nasa.gov/sites/default/files/documents/ASP07Rpt_v10.pdf
https://www.researchgate.net/publication/264692995_Joint_Airborne_IASI_Validation_Experiment_JAIVEx_-An_Overview
https://ntrs.nasa.gov/search.jsp?R=20080013369
http://cimss.ssec.wisc.edu/jaivex/about/ 
http://cimss.ssec.wisc.edu/jaivex/data-archives/";;UK;https://drive.google.com/file/d/1sKgrAgZHRAbwg1Q2VFhm_MLkEwjz7cn5/view;;;;;;;
LISTOS;Long Island Sound Tropospheric Ozone Study;;a multi-agency collaborative study focusing on Long Island Sound and the surrounding coastlines that continue to suffer from poor air quality exacerbated by land/water circulations. The primary measurement operations are planned between June-September 2018 and include, but not limited to, in situ and remotely sensing instrumentation integrated aboard three aircrafts, a network of ground sites, mobile vehicle and boat measurements. The goal of this study is to improve the understanding of ozone chemistry and transport from New York City and upwind regions to downwind areas, particularly over Long Island Sound.;Atmospheric Composition;;;;boreal summer;;;;;;;;;;;;;;;;;;;;;;;;;;Unpublished;;;;;;;;;;;;;
LMOS;Lake Michigan Ozone Study 2017;;Characterization of the distributions of ozone and precursors over Lake Michigan Area. A collaborative, multi‐agency field study of ozone chemistry and meteorology along the Wisconsin‐Illinois Lake Michigan shoreline using a combination of aircraft, ground‐based and ship‐based measurements.;Atmospheric Composition;;Lake Michigan;;;;;1;;"A $1.3 million multi-agency partnership. Funding sources are listed in decreasing order of funding:
NASA Flight Program/GEO-CAPE Mission (46%)
The National Science Foundation (26%)
NOAA (9%)
The Electric Power Research Institute (8%)
U.S. EPA’s Office of Research and Development (and Region 5) (7%)
LADCO (4%)";;Barry Lefer;Jay Al-Saadi, R. Bradley Pierce;Gao Chen;Aircraft, ground-based platforms;UC-12, Ground, Scientific Aviation Mooney Aircraft;"GEO-CAPE, DIAL, HSRL, AERI, HSRL; Ground: Chemiluminescence, Radiometer, celiometer, CRDS, GC-MS, PAMS, PTR-MS, LIP, CIMS";;;;Trace Gases, Aerosols, Meteorology,;;;;;;;;;;Unpublished;https://www-air.larc.nasa.gov/cgi-bin/ArcView/lmos;;"https://www.nasa.gov/feature/langley/nasa-aids-study-of-lake-michigan-high-ozone-events
https://www-air.larc.nasa.gov/missions/lmos/docs/Great_Lakes_Ozone_Study_White_Paper_Draft_v6.pdf
https://www-air.larc.nasa.gov/missions/lmos/docs/update_statement_mar21_final.pdf";;;https://drive.google.com/file/d/1KRME2ALbKf2vMh_TrhcimURHjUNLE6zu/view;;;;;;;
